word,pos
문화,NNG
관,NNG
공간,NNG
전시물,NNG
문화,NNG
관,NNG
운영,NNG
공간,NNG
공간,NNG
채우,VV
전시물,NNG
확보,NNG
적,VA
않,VX
비용,NNG
따르,VV
동단,NNG
위,NNG
사업,NNG
하,VV
힘들,VA
일,NNG
전쟁,NNG
시기,NNG
어렵,VA
생활상,NNG
시도,NNG
좋,VA
주민,NNG
센터,NNG
한정,NNG
공간,NNG
제한,NNG
전시물,NNG
부족,NNG
생각,NNG
외국인,NNG
방문,NNG
시,NNG
대비,NNG
영문,NNG
내용,NNG
설명,NNG
아쉽,VA
전시,NNG
내용,NNG
잘,MAG
모르,VV
세대,NNG
안내,NNG
도우미,NNG
배치,NNG
좋,VA
생각,NNG
문화,NNG
관,NNG
역할,NNG
계단,NNG
중앙동,NNP
역사,NNG
기념,NNG
운영,NNG
곳,NNG
무료,NNG
기념,NNG
근대,NNG
역사,NNG
획기,XR
전시,NNG
체험,NNG
프로그램,NNG
다양,XR
하,VV
곳,NNG
그냥,MAG
지나치,VV
사람,NNG
많,VA
근현,NNG
대사,NNG
있,VV
부산,NNP
근현,NNG
대사,NNG
보,VV
있,VV
좁,VA
건물,NNG
있,VV
기대,NNG
없,VA
만족,NNG
있,VV
당시,NNG
부산,NNP
역사,NNG
시대,NNG
배경,NNG
있,VV
용두산,NNP
공원,NNG
근처,NNG
근대,NNG
역사관,NNG
관람,NNG
좋,VA
테마,NNG
거리,NNG
없,VA
계단,NNG
주변,NNG
전쟁,NNG
당시,NNG
피란민,NNG
집단,NNG
거주지,NNG
안내판,NNG
있,VV
현재,NNG
관련,NNG
주변,NNG
없,VA
문화,NNG
관광,NNG
테마,NNG
전달,NNG
있,VV
하,VV
당시,NNG
관련,NNG
조각,NNG
작품,NNG
빈약,NNG
생각,NNG
전쟁,NNG
경험,NNG
못하,VA
세대,NNG
한국,NNP
모르,VV
외국인,NNG
보,VV
느끼,VV
있,VV
필요,NNG
생각,NNG
느낌,NNG
계단,NNG
계단,NNG
옛날,NNG
부산,NNP
느끼,VV
있,VV
문화,NNG
관광,NNG
테마,NNG
생각,NNG
중구,NNG
서부산,NNP
중심지,NNG
가,VV
곳,NNG
많,VA
계단,NNG
최고,NNG
생각,NNG
상징,NNG
의미,NNG
곳,NNG
전쟁,NNG
부산,NNP
많,VA
피난민,NNG
모이,VV
계단,NNG
주변,NNG
많,VA
판자촌,NNG
형성,NNG
일종,NNG
만남,NNG
광장,NNG
되,VV
지금,NNG
계단,NNG
이전,NNG
계단,NNG
옆,NNG
지,VV
곳,NNG
주변,NNG
테마,NNG
거리,NNG
형성,NNG
있,VV
상징,NNG
의미,NNG
있,VA
곳,NNG
볼거리,NNG
많,VA
않,VX
정도,NNG
모르,VV
주변,NNG
카페,NNG
많,VA
구당,NNG
빵집,NNG
있,VA
빵집,NNG
추천,NNG
문화,NNG
관광,NNG
테마,NNG
거리,NNG
아니,VCN
카페,NNG
거리,NNG
관광,NNG
테마,NNG
부르,VV
관광,NNG
테마,NNG
거리,NNG
거리,NNG
카페,NNG
남포동,NNP
방면,NNG
가,VV
길,NNG
있,VV
작,VA
식당,NNG
전부,NNG
좋,VA
동상,NNG
센스,NNG
있,VV
작품,NNG
있,VA
구경,NNG
금방,MAG
시간,NNG
근처,NNG
카페,NNG
좋,VA
많,VA
계단,NNG
