area,place,type,language,date,review,score,token
중구,40계단 문화관,문화,한국어,201908,아쉬운 문화관 공간과 전시물 문화관 운영을 위한 공간과 그 공간을 채우는 전시물을 확보하는데는 적지않은 비용이 따르기에 동단위에서 이런 사업을 하는 것은 정말 힘든 일입니다. 6.25전쟁 시기의 어려운 생활상을 보여주겠다는 시도는 좋았는데 주민센터의 한정된 공간과 제한된 전시물로써는 좀 부족하다는 생각이 듭니다. 외국인 방문시 대비 영문 내용설명이 아쉽고 전시된 내용을 잘모르는 세대들을 위한 안내도우미 배치는 좋다고 생각합니다.,3,문화/NNG_관/NNG_공간/NNG_전시물/NNG_문화/NNG_관/NNG_운영/NNG_공간/NNG_공간/NNG_채우/VV_전시물/NNG_확보/NNG_적/VA_않/VX_비용/NNG_따르/VV_동단/NNG_위/NNG_사업/NNG_하/VV_힘들/VA_일/NNG 전쟁/NNG_시기/NNG_어렵/VA_생활상/NNG_시도/NNG_좋/VA_주민/NNG_센터/NNG_한정/NNG_공간/NNG_제한/NNG_전시물/NNG_부족/NNG_생각/NNG_외국인/NNG_방문/NNG_시/NNG_대비/NNG_영문/NNG_내용/NNG_설명/NNG_아쉽/VA_전시/NNG_내용/NNG_잘/MAG_모르/VV_세대/NNG_안내/NNG_도우미/NNG_배치/NNG_좋/VA_생각/NNG
중구,40계단 문화관,문화,한국어,201512,"문화관의 역할에 대해서. 40계단. 중앙동의 역사를 기념하고자 운영하는곳이라기에는 매우 무료합니다. 기념이될만하거나, 근대역사에 대해 좀더 획기적인 전시나 배울만한 체험프로그램이 다양해졌으면 합니다. 실지로 이곳이 무엇하는곳인지 그냥 지나치는 사람도 많으니까요.",2,문화/NNG_관/NNG_역할/NNG_계단/NNG_중앙동/NNP_역사/NNG_기념/NNG_운영/NNG_곳/NNG_무료/NNG 기념/NNG_근대/NNG_역사/NNG_획기/XR_전시/NNG_체험/NNG_프로그램/NNG_다양/XR 하/VV_곳/NNG_그냥/MAG_지나치/VV_사람/NNG_많/VA
중구,40계단 문화관,문화,한국어,201412,근현대사 배울 수 있어 부산의 근현대사를 볼수 있는 곳. 좁은 건물 내에 있어 큰 기대 없다면 그럭저럭 만족할 수 있다. 당시 부산의 역사적 시대적 배경에 대해 알수 있다. 이곳과 용두산공원 근처 근대역사관을 함께 관람하면 좋다.,4,근현/NNG_대사/NNG_있/VV_부산/NNP_근현/NNG_대사/NNG_보/VV_있/VV_좁/VA_건물/NNG_있/VV_기대/NNG_없/VA_만족/NNG_있/VV 당시/NNG_부산/NNP_역사/NNG_시대/NNG_배경/NNG_있/VV 용두산/NNP_공원/NNG_근처/NNG_근대/NNG_역사관/NNG_관람/NNG_좋/VA
중구,40계단 문화관광테마거리,문화,한국어,201908,무슨 테마거리인지 알 수가 없네요 40계단 주변이 6.25전쟁 당시 피란민의 집단거주지라는 것은 안내판으로써 알 수 있는데 지금 현재는 그와 관련된 것은 주변에 아무 것도 없네요. 문화관광테마거리라는데 전달하고 보여주고 싶은 무엇이 있어야 하는데 그 당시와 관련된 조각작품 몇 개로는 많이 빈약하다고 생각됩니다. 전쟁을 경험하지 못한 세대와 한국에 대해서 아무것도 모르는 외국인들이 보고 느낄 수 있는 것들이 필요하다고 생각합니다.,3,테마/NNG_거리/NNG_없/VA_계단/NNG_주변/NNG_전쟁/NNG_당시/NNG_피란민/NNG_집단/NNG_거주지/NNG_안내판/NNG_있/VV_현재/NNG_관련/NNG_주변/NNG_없/VA 문화/NNG_관광/NNG_테마/NNG_전달/NNG_있/VV_하/VV_당시/NNG_관련/NNG_조각/NNG_작품/NNG_빈약/NNG_생각/NNG 전쟁/NNG_경험/NNG_못하/VA_세대/NNG_한국/NNP_모르/VV_외국인/NNG_보/VV_느끼/VV_있/VV_필요/NNG_생각/NNG
중구,40계단 문화관광테마거리,문화,한국어,201810,옛 느낌 40계단 40계단은 정말 옛날의 부산을 느낄 수 있는 문화관광테마거리 라고 생각합니다. 중구는 서부산의 중심지로서 정말 갈 곳이 많죠. 그 중에서도 40계단은 최고라고 생각합니다.,5,느낌/NNG_계단/NNG_계단/NNG_옛날/NNG_부산/NNP_느끼/VV_있/VV_문화/NNG_관광/NNG_테마/NNG_생각/NNG 중구/NNG_서부산/NNP_중심지/NNG_가/VV_곳/NNG_많/VA 계단/NNG_최고/NNG_생각/NNG
중구,40계단 문화관광테마거리,문화,한국어,201806,상징적인 의미가 강한 곳 6.25 전쟁으로 부산에 많은 피난민이 모이고 40계단 주변에 많은 판자촌이 형성되면서 일종의 만남의 광장이 되었던 곳. 지금의 40계단은 이전의 40계단 옆에 지어진 곳으로 주변이 테마거리로 형성되어 있습니다. 상징적인 의미가 있는 곳이지만 볼거리는 그렇게 많지 않아 굳이 찾아올 정도인지는 모르겠습니다. 주변에 카페가 많고 백구당이라는 빵집이 있는 그 빵집은 추천해요.,3,상징/NNG_의미/NNG_곳/NNG_전쟁/NNG_부산/NNP_많/VA_피난민/NNG_모이/VV_계단/NNG_주변/NNG_많/VA_판자촌/NNG_형성/NNG_일종/NNG_만남/NNG_광장/NNG_되/VV_지금/NNG_계단/NNG_이전/NNG_계단/NNG_옆/NNG_지/VV_곳/NNG_주변/NNG_테마/NNG_거리/NNG_형성/NNG_있/VV 상징/NNG_의미/NNG_있/VA_곳/NNG_볼거리/NNG_많/VA_않/VX_정도/NNG_모르/VV 주변/NNG_카페/NNG_많/VA_구당/NNG_빵집/NNG_있/VA_빵집/NNG_추천/NNG
중구,40계단 문화관광테마거리,문화,한국어,201804,문화관광테마거리가 아니라 카페거리입니다. 관광테마거리라고 부르지만 전혀 관광테마거리가 아닙니다. 거리엔 카페들과 남포동 방면으로 가는길에 있는 작은 식당들이 전부 입니다.,2,문화/NNG_관광/NNG_테마/NNG_거리/NNG_아니/VCN_카페/NNG_거리/NNG 관광/NNG_테마/NNG_부르/VV_관광/NNG_테마/NNG_거리/NNG 거리/NNG_카페/NNG_남포동/NNP_방면/NNG_가/VV_길/NNG_있/VV_작/VA_식당/NNG_전부/NNG
중구,40계단 문화관광테마거리,문화,한국어,201712,좋아요 동상들 너무 센스있고 작품성도 있어서 그것만 구경해도 금방 시간갑니다 근처에 카페도 좋은곳 많아요,4,좋/VA 동상/NNG_센스/NNG_있/VV_작품/NNG_있/VA_구경/NNG_금방/MAG_시간/NNG 근처/NNG_카페/NNG_좋/VA_많/VA
중구,40계단 문화관광테마거리,문화,한국어,201712,계단 나름 보도블록도 꾸며놓고 군데군데 재미있는 동상도 배치해놓아서 그런대로 재미있게 다녀온 곳 40계단의 역사적 의미도 배우고 그런대로 무난했던 곳,4,계단/NNG_보도블록/NNG_재미있/VA_동상/NNG_배치/NNG_재미있/VA_곳/NNG_계단/NNG_역사/NNG_의미/NNG_배우/VV_무난/XR_곳/NNG
중구,40계단 문화관광테마거리,문화,한국어,201710,개인 방문 영화속 배경이 되었다고 해서 들른 곳이지만 너무 한산하고 스산해서 조금 실망 스러웠습니다. 주말인데도 사람이 없더라고요,3,개인/NNG_방문/NNG_영화/NNG_속/NNG_배경/NNG_되/VV_곳/NNG_한산/XR_스산/XR_실망/NNG 주말/NNG_사람/NNG_없/VA
