category,word,pol
0,다양/NNG_가까이/NNG_신세계백화점/NNP,1
2,먹을거리/NNG_구경거리/NNG_다양/NNG,1
7,신세계백화점/NNP_지하/NNG_이어지/VA,1
0,브랜드/NNG_먹자골목/NNG_공존/NNG,1
2,여러가지/NNG_길거리/NNG_음식/NNG,1
2,다양/NNG_즐길거리/NNG_먹거리/NNG,1
7,대중교통/NNG_접근성/NNG_떨어지/VV,-1
7,여행자/NNG_필요/NNG_대중교통/NNG,1
7,여행자/NNG_핵심/NNG_교통수단/NNG,1
7,대중교통/NNG_가/VV_쉽/VA_않/VX,-1
7,차/NNG_없이/MAG_가/VV_힘들/VA,-1
14,여기저기/NNG_사진/NNG_포인트/NNG,1
0,기념품/NNG_주전부리/NNG_다양/XR,1
2,레스토랑/NNG_가게/NNG_다양/NNG,1
2,먹거리/NNG_즐길거리/NNG_넘치/VV,1
2,먹거리/NNG_즐길거리/NNG_풍성/XR,1
6,식당가/NNG_양아치/NNG_기질/NNG,-1
6,주인집/NNG_아들/NNG_쓰레기/NNG,-1
6,마인드/NNG_쓰레기/NNG_사장/NNG,-1
7,대중교통/NNG_연계/NNG_이용/NNG,1
7,대중교통/NNG_이용/NNG_편리/NNG,1
7,대중교통/NNG_접근/NNG_가능/NNG,1
7,주변/NNG_신세계/NNG_백화점/NNG,1
7,시장/NNG_깡통시장/NNG_이어지/VA,1
7,지하철/NNG_가까이/MAG_연결/NNG,1
7,신세계백화점/NNP_길/NNG_건너/VV,1
7,부산/NNP_구석구석/NNG_이어지/VA,1
7,지하철역/NNG_이동시/NNG_복잡/XR,-1
7,대중교통/NNG_이용/NNG_가능/NNG,1
7,고속버스/NNG_터미널/NNG_가깝/VA,1
7,관광지/NNG_지하철/NNG_연결/NNG,1
7,국제시장/NNP_근처/NNG_위치/NNG,1
7,부산역/NNP_바로/MAG_맞은편/NNG,1
7,대중교통/NNG_이용/NNG_불편/NNG,-1
7,부산역/NNG_바로/MAG_맞은편/NNG,1
8,주차장/NNG_관리자/NNG_최악/NNG,-1
8,주차장/NNG_문제/NNG_어려움/NNG,-1
8,공영주차장/NNG_가깝/VA_위치/NNG,1
8,아랫동네/NNG_주차/NNG_걸어가/VV,-1
9,여기저기/NNG_휴식/NNG_공간/NNG,1
10,화장실/NNG_부대시설/NNG_깨끗/XR,1
14,여기저기/NNG_포토/NNG_스팟/NNG,1
0,불편/NNG_생각/NNG_볼거리/NNG,-1
0,많/VA_이것저것/NNG_기념품/NNG,1
0,해외/NNG_브랜드/NNG_입점/NNG,1
0,쇼핑/NNG_먹거리/NNG_천국/NNG,1
0,신나/VV_이것저것/NNG_시장/NNG,1
0,다양/NNG_벽화/NNG_예술품/NNG,1
0,다양/XR_먹거리/NNG_볼거리/NNG,1
1,까페/NNG_샌드위치/NNG_맛있/VA,1
1,좋아하/VV_포장마차/NNG_맛/NNG,1
1,호떡/NNG_유명세/NNG_별로/MAG,-1
1,특별/NNG_녹두/NNG_빈대떡/NNG,1
1,먹거리/NNG_기대/NNG_이하/NNG,-1
2,천국/NNG_길거리/NNG_음식/NNG,1
2,구경/NNG_재미있/VA_해산물/NNG,1
2,음식점/NNG_숙박업소/NNG_많/VA,1
2,각종/NNG_길거리/NNG_음식/NNG,1
2,먹거리/NNG_즐길거리/NNG_있/VA,1
2,다양/NNG_길거리/NNG_음식/NNG,1
2,먹거리/NNG_군데군데/NNG_팔/VV,1
2,주위/NNG_아기자기/XR_카페/NNG,1
2,다양/XR_놀거리/NNG_먹거리/NNG,1
2,먹거리/NNG_곳곳/NNG_많이/MAG,1
2,먹거리/NNG_음식/NNG_가득/MAG,1
3,가격/NNG_설정/NNG_엉터리/NNG,-1
3,가성비/NNG_대비/NNG_추천/NNG,1
4,무료/NNG_대부분/NNG_커피/NNG,1
4,바가지/NNG_씌우/VV_떡볶이/NNG,-1
4,저렴/XR_아니/VCN_돼지고기/NNG,-1
4,합리/NNG_가격/NNG_먹거리/NNG,1
4,음식점/NNG_가격/NNG_창렬/NNP,-1
5,저렴/XR_유니크/NNG_아이템/NNG,1
6,비/XPN_호감/NNG_큐레이터/NNG,-1
6,아들/NNG_완전/NNG_쓰레기/NNG,-1
7,단시간/NNG_이동/NNG_가능/NNG,1
7,대중교통/NNG_방문/NNG_괜찮/VA,1
7,대중교통/NNG_여행/NNG_편하/VA,1
7,대중교통/NNG_움직이/VV_힘들/VA,-1
7,대중교통/NNG_접근/NNG_어렵/VA,-1
7,대중교통/NNG_접근/NNG_용이/XR,1
7,대중교통/NNG_찾아가/VV_힘들/VA,-1
7,시외버스/NNG_터미널/NNG_있/VV,1
7,여행/NNG_지하철/NNG_편리/NNG,1
7,지하철/NNG_이용/NNG_가능/NNG,1
7,지하철/NNG_이용/NNG_추천/NNG,1
7,지하철역/NNG_이동/NNG_복잡/XR,-1
7,지하도/NNG_이동/NNG_가능/NNG,1
7,명소/NNG_구석구석/NNG_다니/VV,1
7,주변/NNG_세계/NNG_백화점/NNG,1
7,지하철/NNG_바로/MAG_연결/NNG,1
7,광안리/NNP_해변/NNG_가까워/VV,1
7,신세계/NNG_백화점/NNG_가깝/VA,1
7,관광/NNG_지하철/NNG_활용/NNG,1
7,다니/VV_대중교통/NNG_편리/NNG,1
7,자갈치역/NNP_내리/VV_바로/MAG,1
