area,place,type,language,date,score,sentence,key
중구,40계단 문화관,문화,한국어,201908,3,아쉬운 문화관 공간과 전시물 문화관 운영을 위한 공간과 그 공간을 채우는 전시물을 확보하는데는 적지않은 비용이 따르기에 동단위에서 이런 사업을 하는 것은 정말 힘든 일입니다.,0
중구,40계단 문화관,문화,한국어,201908,3,6.25전쟁 시기의 어려운 생활상을 보여주겠다는 시도는 좋았는데 주민센터의 한정된 공간과 제한된 전시물로써는 좀 부족하다는 생각이 듭니다. 외국인 방문시 대비 영문 내용설명이 아쉽고 전시된 내용을 잘모르는 세대들을 위한 안내도우미 배치는 좋다고 생각합니다.,1
중구,40계단 문화관,문화,한국어,201512,2,문화관의 역할에 대해서. 40계단. 중앙동의 역사를 기념하고자 운영하는곳이라기에는 매우 무료합니다.,2
중구,40계단 문화관,문화,한국어,201512,2,기념이될만하거나,3
중구,40계단 문화관,문화,한국어,201512,2,근대역사에 대해 좀더 획기적인 전시나 배울만한 체험프로그램이 다양해졌으면 합니다.,4
중구,40계단 문화관,문화,한국어,201512,2,실지로 이곳이 무엇하는곳인지 그냥 지나치는 사람도 많으니까요.,5
중구,40계단 문화관,문화,한국어,201412,4,근현대사 배울 수 있어 부산의 근현대사를 볼수 있는 곳. 좁은 건물 내에 있어 큰 기대 없다면 그럭저럭 만족할 수 있다.,6
중구,40계단 문화관,문화,한국어,201412,4,당시 부산의 역사적 시대적 배경에 대해 알수 있다.,7
중구,40계단 문화관,문화,한국어,201412,4,이곳과 용두산공원 근처 근대역사관을 함께 관람하면 좋다.,8
중구,40계단 문화관광테마거리,문화,한국어,201908,3,무슨 테마거리인지 알 수가 없네요 40계단 주변이 6.25전쟁 당시 피란민의 집단거주지라는 것은 안내판으로써 알 수 있는데 지금 현재는 그와 관련된 것은 주변에 아무 것도 없네요.,9
중구,40계단 문화관광테마거리,문화,한국어,201908,3,문화관광테마거리라는데 전달하고 보여주고 싶은 무엇이 있어야 하는데 그 당시와 관련된 조각작품 몇 개로는 많이 빈약하다고 생각됩니다.,10
중구,40계단 문화관광테마거리,문화,한국어,201908,3,전쟁을 경험하지 못한 세대와 한국에 대해서 아무것도 모르는 외국인들이 보고 느낄 수 있는 것들이 필요하다고 생각합니다.,11
중구,40계단 문화관광테마거리,문화,한국어,201810,5,옛 느낌 40계단 40계단은 정말 옛날의 부산을 느낄 수 있는 문화관광테마거리 라고 생각합니다.,12
중구,40계단 문화관광테마거리,문화,한국어,201810,5,중구는 서부산의 중심지로서 정말 갈 곳이 많죠.,13
중구,40계단 문화관광테마거리,문화,한국어,201810,5,그 중에서도 40계단은 최고라고 생각합니다.,14
